BR_CerM,BR_CerMID,BR_Chan,BR_Inst,BR_InstCh,FP_elect,FP_electCNT,FP_ref,FP_shank,FP_shfh_p,FP_shfh_r,FP_shfh_t,FP_shfh_x,FP_shfh_y,FP_shfh_z,FP_shs_r,FP_shs_s,HP_elect,HP_ref,OM_ch,OM_con,OM_pin,OM_ref
1,4,1,1,97,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,1,1,20,-99
4,3,508,4,92,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,508,-99,28,16,15,-99
5,3,515,5,67,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,515,-99,3,17,21,-99
5,3,516,5,68,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,516,-99,4,17,3,-99
8,4,1020,8,124,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1020,-99,28,32,15,-99
8,4,1021,8,125,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1021,-99,29,32,34,-99
-99,-99,-99,-99,-99,-99,-99,1,1,-99,-99,-99,-99,-99,-99,2,285,,,,1,,
8,4,1024,8,128,1,1,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1024,-99,0,32,17,-99
-99,-99,-99,-99,-99,2,2,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,-99,1,-99,1,1,1
1,4,2,1,98,3,3,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,2,-99,2,1,2,-99
1,4,4,1,100,4,4,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,4,-99,4,1,3,-99
-99,-99,-99,-99,-99,5,5,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,-99,8,,33,,9
8,4,1022,8,126,6,6,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1022,-99,30,32,16,-99
8,4,1013,8,117,7,7,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1013,-99,21,32,30,-99
8,4,1017,8,121,8,8,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1017,-99,25,32,32,-99
1,4,12,1,108,9,9,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,12,-99,12,1,7,-99
1,4,8,1,104,10,10,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,8,-99,8,1,5,-99
1,4,6,1,102,11,11,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,6,-99,6,1,4,-99
1,4,10,1,106,12,12,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,10,-99,10,1,6,-99
8,4,1019,8,123,13,13,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1019,-99,27,32,33,-99
8,4,1015,8,119,14,14,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1015,-99,23,32,31,-99
8,4,1005,8,109,15,15,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1005,-99,13,32,26,-99
8,4,1009,8,113,16,16,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1009,-99,17,32,28,-99
1,4,21,1,117,17,17,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,21,-99,21,1,30,-99
1,4,17,1,113,18,18,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,17,-99,17,1,28,-99
1,4,15,1,111,19,19,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,15,-99,15,1,27,-99
1,4,19,1,115,20,20,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,19,-99,19,1,29,-99
8,4,1011,8,115,21,21,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1011,-99,19,32,29,-99
8,4,1007,8,111,22,22,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1007,-99,15,32,27,-99
8,4,1003,8,107,23,23,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1003,-99,11,32,25,-99
8,4,996,8,100,24,24,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,996,-99,4,32,3,-99
8,4,1000,8,104,25,25,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1000,-99,8,32,5,-99
1,4,31,1,127,26,26,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,31,-99,31,1,34,-99
1,4,27,1,123,27,27,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,27,-99,27,1,32,-99
1,4,23,1,119,28,28,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,23,-99,23,1,31,-99
-99,-99,-99,-99,-99,29,29,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,-99,7,,33,,9
1,4,5,1,101,30,30,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,5,-99,5,1,22,-99
1,4,3,1,99,31,31,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,3,-99,3,1,21,-99
-99,-99,-99,-99,-99,32,32,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,-99,2,-99,1,36,1
8,4,1023,8,127,33,33,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1023,-99,31,32,35,-99
8,4,1014,8,118,34,34,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1014,-99,22,32,12,-99
8,4,1018,8,122,35,35,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,1018,-99,26,32,14,-99
1,4,11,1,107,36,36,-99,1,10.5,1.00286083294136,285,0.0473009588087846,-0.176529581521107,0.98606783559327,2,285,11,-99,11,1,25,-99
